Wall time,Step,Value
1695147538.2195976,623,2321.983154296875
1695147546.803571,625,2322.190673828125
1695147563.9999514,629,2322.251953125
1695147585.5045354,634,2322.193603515625
1695147615.6999583,641,2322.201171875
1695147620.0001712,642,2322.438720703125
1695147628.595423,644,2321.99267578125
1695147632.8987834,645,2322.323974609375
1695147637.2319078,646,2322.239990234375
1695147641.5458524,647,2321.795166015625
1695147645.850294,648,2322.386474609375
1695147650.2009106,649,2322.02294921875
1695147658.8442848,651,2322.306884765625
1695147663.1494849,652,2322.344970703125
1695147680.42107,656,2322.351806640625
1695147684.7616422,657,2322.18994140625
1695147693.4674551,659,2322.022705078125
1695147702.0557442,661,2322.371826171875
1695147715.0775287,664,2322.332275390625
1695147723.7352307,666,2322.379638671875
1695147728.0918174,667,2322.447998046875
1695147732.4386353,668,2322.413818359375
1695147745.410694,671,2322.37158203125
1695147749.7204173,672,2322.537109375
1695147754.0742526,673,2322.340087890625
1695147758.38446,674,2322.34912109375
1695147762.694115,675,2322.510986328125
1695147771.390945,677,2322.35595703125
1695147775.7167518,678,2322.184814453125
1695147780.0284104,679,2322.2275390625
1695147788.646265,681,2322.242919921875
1695147792.9358282,682,2322.40380859375
1695147797.2811673,683,2322.384521484375
1695147801.5760193,684,2322.405029296875
1695147805.871649,685,2322.488525390625
1695147810.1837308,686,2322.467529296875
1695147818.7885666,688,2322.493896484375
1695147823.106598,689,2322.479736328125
1695147836.0789437,692,2322.459716796875
1695147853.3139842,696,2322.6181640625
1695147866.3250167,699,2322.579345703125
1695147870.6333177,700,2322.56201171875
1695147874.990446,701,2322.552001953125
1695147883.6843996,703,2322.45361328125
1695147887.9922464,704,2322.45654296875
1695147892.307783,705,2322.41552734375
1695147896.5963602,706,2322.459228515625
1695147905.2375739,708,2322.61474609375
1695147909.5475044,709,2322.58349609375
1695147913.848189,710,2322.633056640625
1695147931.165218,714,2322.26513671875
1695147948.4721842,718,2322.782958984375
1695147952.8035467,719,2322.66015625
1695147961.4813452,721,2322.870361328125
1695147965.8186548,722,2322.83642578125
1695147970.1520278,723,2322.744873046875
1695147974.439168,724,2322.79638671875
1695147978.7424898,725,2322.740234375
1695147983.0728657,726,2322.7080078125
1695147996.1192956,729,2322.71923828125
1695148000.4284678,730,2322.707275390625
1695148026.423154,736,2322.7294921875
1695148035.0741444,738,2322.720458984375
1695148039.4066982,739,2322.665283203125
1695148043.6891363,740,2322.701416015625
1695148047.992956,741,2322.731689453125
1695148056.6489244,743,2322.8134765625
1695148069.545613,746,2322.58740234375
1695148073.8684914,747,2322.81787109375
1695148086.8128483,750,2322.7626953125
1695148091.1246529,751,2322.80517578125
1695148095.4112065,752,2322.72412109375
1695148104.029065,754,2322.728759765625
1695148112.6450186,756,2322.750732421875
1695148125.703839,759,2322.540283203125
1695148129.9925787,760,2322.623046875
1695148138.6089149,762,2322.54736328125
1695148151.5570865,765,2322.876953125
1695148155.864768,766,2322.552490234375
1695148160.1649427,767,2322.779052734375
1695148168.7890868,769,2322.861083984375
1695148173.114484,770,2322.752197265625
1695148177.4139643,771,2322.850830078125
1695148186.0260406,773,2322.77783203125
1695148190.3129945,774,2322.6171875
1695148194.6192963,775,2322.52685546875
1695148216.136272,780,2322.83935546875
1695148233.415111,784,2322.68408203125
1695148237.7379942,785,2322.654052734375
1695148246.3778086,787,2322.8935546875
1695148254.9794016,789,2322.8173828125
1695148263.5870821,791,2322.708251953125
1695148267.8802807,792,2322.8134765625
1695148272.1882908,793,2322.88525390625
1695148276.4738448,794,2322.82177734375
1695148280.7731671,795,2322.685546875
1695148285.0555,796,2322.8173828125
1695148293.72728,798,2322.623046875
1695148302.3560798,800,2322.634521484375
1695148310.9916337,802,2322.768798828125
1695148324.0208893,805,2322.82763671875
1695148332.632395,807,2322.909912109375
1695148336.9357123,808,2322.720947265625
1695148341.24508,809,2322.71142578125
1695148358.458905,813,2322.6435546875
1695148367.0899487,815,2322.85791015625
1695148371.3752453,816,2322.673095703125
1695148379.965926,818,2322.751708984375
1695148392.8948042,821,2322.67236328125
1695148401.5006464,823,2322.658447265625
1695148405.7811854,824,2322.82861328125
1695148410.0855901,825,2322.705810546875
1695148423.0179598,828,2322.88818359375
1695148436.0341053,831,2322.768798828125
1695148440.4000177,832,2322.842041015625
1695148449.0457997,834,2322.783203125
1695148457.6790745,836,2322.757568359375
1695148466.295674,838,2322.88671875
1695148487.8923059,843,2322.70703125
1695148496.535599,845,2322.794921875
1695148500.8767815,846,2322.905517578125
1695148505.194023,847,2322.8310546875
1695148509.5124886,848,2322.66259765625
1695148522.4674914,851,2322.79736328125
1695148548.5658188,857,2322.814453125
1695148557.312779,859,2322.933349609375
1695148561.6617854,860,2322.922119140625
1695148565.9789274,861,2322.716064453125
1695148570.2733552,862,2322.896240234375
1695148574.6581588,863,2322.781494140625
1695148591.9099257,867,2322.79345703125
1695148600.513432,869,2322.880859375
1695148604.8089712,870,2322.82080078125
1695148617.7517688,873,2322.842041015625
1695148622.037751,874,2322.8876953125
1695148626.3630028,875,2322.82470703125
1695148630.6589189,876,2322.662353515625
1695148634.981879,877,2322.835693359375
1695148643.6024215,879,2322.706787109375
1695148647.9012873,880,2322.8681640625
1695148652.2160356,881,2322.849365234375
1695148656.5000253,882,2322.81982421875
1695148665.109699,884,2322.85009765625
1695148678.1102247,887,2322.754150390625
1695148686.7803497,889,2322.8447265625
1695148691.1104565,890,2322.82080078125
1695148699.722639,892,2322.752685546875
1695148704.039198,893,2322.5888671875
1695148716.9879527,896,2322.792236328125
1695148721.3340826,897,2322.78857421875
1695148730.078132,899,2322.864990234375
1695148734.4295952,900,2322.68505859375
1695148765.0149105,907,2322.70556640625
1695148769.3526587,908,2322.83154296875
1695148773.7496004,909,2322.676513671875
1695148778.1291883,910,2322.48046875
1695148782.484122,911,2322.593505859375
1695148786.7822,912,2322.5009765625
1695148791.113938,913,2322.773681640625
1695148799.7359216,915,2322.881591796875
1695148804.0285742,916,2322.868896484375
1695148808.3482165,917,2322.73876953125
1695148821.2576559,920,2322.662109375
1695148825.5812058,921,2322.773193359375
1695148829.8826578,922,2322.79931640625
1695148834.1839228,923,2322.6240234375
1695148842.8523092,925,2322.71044921875
1695148868.892166,931,2322.7529296875
1695148873.2321699,932,2322.84375
1695148877.6005359,933,2323.10693359375
1695148886.2844377,935,2322.819091796875
1695148903.576632,939,2322.72314453125
1695148916.5628295,942,2322.815185546875
1695148929.61432,945,2322.74365234375
1695148946.8939855,949,2322.827392578125
1695148959.8886747,952,2322.644287109375
1695148964.1924996,953,2322.634033203125
1695148968.5307908,954,2322.7509765625
1695148977.242023,956,2322.8466796875
1695148981.5755723,957,2322.683837890625
1695148985.9170187,958,2322.727783203125
1695148998.8267727,961,2322.5849609375
1695149003.1274197,962,2322.885498046875
1695149011.7652607,964,2322.876953125
1695149020.4077995,966,2322.739990234375
1695149024.7148278,967,2322.762939453125
1695149033.3818448,969,2323.00927734375
1695149042.0740604,971,2322.820556640625
1695149046.3886116,972,2322.821044921875
1695149055.006561,974,2322.589111328125
1695149063.6672053,976,2322.839111328125
1695149067.9925196,977,2322.53564453125
1695149072.318821,978,2322.6015625
1695149076.6497412,979,2322.697998046875
1695149089.62832,982,2322.701904296875
1695149093.9495795,983,2322.847900390625
1695149098.31046,984,2322.6767578125
1695149111.337832,987,2322.893798828125
1695149115.6804037,988,2322.504638671875
1695149150.2534063,996,2322.756591796875
1695149163.238284,999,2322.71630859375
1695149167.5452406,1000,2322.712646484375
1695149176.1621497,1002,2322.759765625
1695149184.8024917,1004,2322.6787109375
1695149189.1262684,1005,2322.859619140625
1695149202.1170673,1008,2322.74560546875
1695149206.4894242,1009,2322.62646484375
1695149215.1163087,1011,2322.631591796875
1695149219.415663,1012,2322.63623046875
1695149223.731953,1013,2322.9404296875
1695149228.0500317,1014,2322.82861328125
1695149241.0762258,1017,2322.98779296875
1695149275.7508223,1025,2322.669189453125
1695149280.0697691,1026,2322.881591796875
1695149284.3750315,1027,2322.814208984375
1695149293.0514698,1029,2322.64013671875
1695149301.6932776,1031,2322.841064453125
1695149306.0350206,1032,2322.381591796875
1695149310.3868413,1033,2322.73779296875
1695149319.038415,1035,2322.722412109375
1695149327.6653717,1037,2322.98193359375
1695149332.00852,1038,2322.867919921875
1695149336.3311675,1039,2322.62158203125
1695149349.2623634,1042,2322.602294921875
1695149353.6098504,1043,2322.63671875
1695149357.929395,1044,2322.738525390625
1695149379.5926306,1049,2322.66796875
1695149388.2362788,1051,2322.855224609375
1695149392.59257,1052,2322.53515625
1695149401.2508984,1054,2322.83984375
1695149405.6792169,1055,2322.89013671875
1695149414.2997377,1057,2322.5615234375
1695149440.1957512,1063,2322.711181640625
1695149444.5164206,1064,2322.584716796875
1695149453.1358569,1066,2322.70263671875
1695149461.7868512,1068,2322.64892578125
1695149479.0643623,1072,2322.7724609375
1695149487.7061057,1074,2322.591796875
1695149496.3764403,1076,2322.7431640625
1695149504.9856515,1078,2322.79052734375
1695149513.627278,1080,2322.821533203125
1695149522.2763567,1082,2322.435546875
1695149526.637507,1083,2322.833251953125
1695149530.960605,1084,2322.701416015625
1695149535.2935874,1085,2322.615966796875
1695149539.5979102,1086,2322.682861328125
1695149556.925926,1090,2322.696533203125
1695149565.5446508,1092,2322.798583984375
1695149569.8838532,1093,2322.826416015625
1695149595.8837016,1099,2322.552490234375
1695149604.5310574,1101,2322.642333984375
1695149613.1730108,1103,2322.474609375
1695149617.4958186,1104,2322.686767578125
1695149621.820817,1105,2322.651123046875
1695149647.7714415,1111,2322.82763671875
1695149660.6996143,1114,2322.638671875
1695149669.3135486,1116,2322.749267578125
1695149682.2838233,1119,2322.8603515625
1695149695.1806803,1122,2322.568603515625
1695149699.4869702,1123,2322.6279296875
1695149708.2232895,1125,2322.59423828125
1695149712.5136058,1126,2322.812255859375
1695149716.830014,1127,2322.75439453125
1695149721.1759646,1128,2322.70654296875
1695149729.8320181,1130,2322.716796875
1695149734.1555498,1131,2322.462890625
